"candidat";"vote";"DimACP1_1";"DimACP1_2";"DimACP2_1";"DimACP2_2";"Médiane";"Écart inter-quartile";"Rapport interdécile";"Écart-type";"Gini";"Rapport interdécile (log)";"inegalitesH"
"Abstentions";22,1074722050191;0,109463284999081;-1,33752362758555;1,38207403294035;0,333545690997012;16312;16302;7,9;11502,16;0,3653;2,06686275947298;"supérieur"
"Abstentions";20,1513413624583;-2,11952443949285;1,03121654952156;4,48557865846694;-1,92332771899965;22845;17370;4,7;35665,42;0,3675;1,54756250871601;"supérieur"
"Abstentions";17,7702381107927;-0,730663157090522;-2,58114644603993;6,64658559321539;-3,13537598369656;30869;23301;4,6;33800,07;0,3614;1,52605630349505;"supérieur"
"Abstentions";20,87311972334;-0,440274252718726;-0,884416643037594;5,12451863489725;-2,80216474975084;23467;17448;4,6;19092,32;0,3346;1,52605630349505;"inférieur"
"Abstentions";19,6161486012803;-0,179939300915761;0,352475263234418;1,37992027255384;-1,82430524075532;17356,5;19324;10,5;28575,3;0,4589;2,35137525716348;"supérieur"
"Abstentions";19,8079220820305;-0,598797812109363;-3,08621773100391;6,44213640090298;-4,04047798014379;29804;32409;7,3;77400,29;0,4581;1,98787434815435;"supérieur"
"Abstentions";25,4931128513461;3,21483253699837;1,7447824550392;-5,05872923989543;-2,88607432921471;10372;13038;27,4;21633,16;0,5443;3,31054301339402;"supérieur"
"Abstentions";23,5666127384162;-1,76535089084437;0,0803508273203199;2,77910558620041;-0,752648887090987;22308;16504;4,7;16637,32;0,3237;1,54756250871601;"inférieur"
"Abstentions";18,5224141735928;-2,96785207222956;-0,885962384279091;6,46651876699362;-1,74089379595689;27421;20981;4,9;24361,94;0,3452;1,58923520511658;"inférieur"
"Abstentions";20,968883704279;0,0607436123889263;-0,47005877920129;1,73304802682324;0,151302555326771;21883;22554,5;8,5;23410,79;0,4046;2,14006616349627;"supérieur"
"Abstentions";18,8494343545854;-1,68849034803646;-2,17038842875594;6,47869110298997;-1,79427234154799;27360;22066;5;31686,58;0,3762;1,6094379124341;"supérieur"
"Abstentions";19,9190547835595;-3,40402965416197;-1,15235438439066;5,52358574488164;-1,22178085759217;26944;21368;5,2;24064,77;0,3503;1,64865862558738;"inférieur"
"Abstentions";25,2060153999676;2,81141505906121;2,41879527559606;-2,55921537477455;0,266344648789539;13806;12157;7,3;8950,47;0,3445;1,98787434815435;"inférieur"
"Abstentions";28,2791872054541;6,99440714783004;0,0938150920201408;-4,74732573890679;-1,48357848812119;12047;10795;6,5;7630,83;0,3354;1,87180217690159;"inférieur"
"Abstentions";26,3791506983515;0,871582799180149;4,17508107230916;-0,778290880729631;-0,493181524196536;13769;12588;8,4;9865,02;0,3592;2,12823170584927;"inférieur"
"Abstentions";22,7176259683559;1,54059837786393;-0,702454446406528;-1,23717700181246;0,738262338666096;16008;12371;5,1;11455,82;0,3329;1,62924053973028;"inférieur"
"Abstentions";20,2667759510785;-2,72695920968291;0,739320283484494;4,53414230687765;-0,612774107144161;22940;20359;6,1;17417,38;0,3452;1,80828877117927;"inférieur"
"Abstentions";22,8752271173359;1,17105963882143;2,01328625963963;-1,91656584862172;-0,212843309478585;13345;14031;12;14295,06;0,4289;2,484906649788;"supérieur"
"Abstentions";22,7050092117781;1,80565983117473;1,6021156255889;-2,23335991920586;-0,945397990047463;17579;15324;7,2;11946,45;0,351;1,97408102602201;"inférieur"
"Abstentions";22,3454392608293;-0,968989414730417;-0,0985177509983177;1,69099068188038;0,42011484416557;21358;13319;3,8;11396,57;0,274;1,33500106673234;"inférieur"
"Abstentions";21,9519959568941;0,699585012393405;1,46361496890304;-1,17969565994652;-0,0588254605904958;14468;11737;5,5;9643,87;0,3322;1,70474809223843;"inférieur"
"Abstentions";24,2963047583557;-0,0216035251861698;3,17605913125235;-3,33452019737681;1,95102083879094;11137,5;11311;8,5;8502,78;0,3776;2,14006616349627;"supérieur"
"Abstentions";28,2587652325808;3,60150235411041;1,43151126248233;-4,44614184546121;-1,18107119908208;11303;11272;13,7;8801,42;0,3823;2,61739583283408;"supérieur"
"Abstentions";23,7815395387292;2,67472251719434;2,63238836216462;-6,44749831562307;-1,24091238178233;11592;10378,5;7,6;9667,8;0,378;2,02814824729229;"supérieur"
"Abstentions";17,5935744155212;-3,38434484721076;-1,65521726683436;5,0314402908371;-1,29091989828876;27351;26960;6,3;134555,24;0,5096;1,84054963339749;"supérieur"
"Abstentions";21,351395735096;-7,04689247512208;4,2552099621587;5,73534540132554;-0,608743660746826;24929;16913;4,2;54557,31;0,3262;1,43508452528932;"inférieur"
"Abstentions";19,4637557314372;-2,26895925794863;-0,727990347816865;4,5598908644371;-0,44058248159797;29848;21738;4,8;34540,13;0,3632;1,56861591791385;"supérieur"
"Abstentions";19,1430125412523;-4,29561920824534;1,39247016547795;4,64417354017848;-0,809309268452387;24258;18246;5,2;17673,09;0,3326;1,64865862558738;"inférieur"
"Abstentions";17,7436282805302;-4,75816148370589;-0,562221179296741;4,50655656888385;0,0284309268605791;28526;23647;5,4;36442,35;0,3853;1,68639895357023;"supérieur"
"Abstentions";16,7909403560881;-2,51261795226681;-0,566140416936817;4,13745450561507;0,224346294728542;27163;22593;5,2;100412,29;0,4707;1,64865862558738;"supérieur"
"Abstentions";18,2718978264882;-2,79199133582981;-0,702907010831432;4,88376866225159;-0,286414353935543;28524;19641;4,2;73551,19;0,3361;1,43508452528932;"inférieur"
"Abstentions";17,9681365856547;-1,325319217408;-2,85529452718591;5,74361672903241;-0,884592714017212;29512;25581;5,4;38418,44;0,3906;1,68639895357023;"supérieur"
"Abstentions";21,9813928654282;-0,0155530980477869;1,41553951217478;3,46840510621327;-2,60370317118612;21219;17385;6,7;18418,99;0,3624;1,90210752639692;"supérieur"
"Abstentions";19,2133972172356;1,2780030530091;-2,90481782334521;1,85972777312451;-2,90964194665326;28401;23547;5,6;47668,76;0,4194;1,7227665977411;"supérieur"
"Abstentions";16,7907609248705;-3,86577925477204;1,50269416532248;3,48260234250077;0,0864396067170126;25033;18674;4,6;30040,5;0,3426;1,52605630349505;"inférieur"
"Abstentions";17,0577611356437;-1,70658885229565;0,644890214367661;1,02008638944866;0,630945117245364;21177;14339;3,9;17164,05;0,3007;1,3609765531356;"inférieur"
"Abstentions";19,9645725151564;-1,43675894635481;0,560559479305727;2,55029838151823;-1,72263551012327;24252;20167;7,2;42211,43;0,4145;1,97408102602201;"supérieur"
"Abstentions";15,0476925976308;-8,72749250849368;5,2017034981068;5,79703245273811;-0,223697626193127;24611;17597;4,6;20740,76;0,325;1,52605630349505;"inférieur"
"Abstentions";18,9205629708048;-4,79493812512834;0,482593014191254;3,55022620651547;0,602433452844532;22653;15606;5;35228,15;0,3665;1,6094379124341;"supérieur"
"Abstentions";14,9076913825245;-0,926219313239112;-2,48485249651052;2,3490411385632;1,15129918648664;25148;18240;4,3;31152,83;0,3381;1,45861502269952;"inférieur"
"Abstentions";14,9076913825245;-3,22773551380757;-1,27827804721586;1,36194328830137;1,56708459598595;25794;15962;3,7;29081,57;0,317;1,30833281965018;"inférieur"
"Abstentions";14,9076913825245;-2,57406489302812;-0,37892498558379;0,326023181217541;2,11675745026097;20974;14986;4,4;17184,2;0,3227;1,48160454092422;"inférieur"
"Abstentions";14,9076913825245;0,938909750636424;-4,92605377718564;3,37838681834466;0,240430392057965;26463;16384;3,6;19525,15;0,2901;1,28093384546206;"inférieur"
"Abstentions";14,9076913825245;-2,87700634107924;-0,782682546992414;0,852720749576502;2,25991505478755;23429;15173;3,7;18522,43;0,3048;1,30833281965018;"inférieur"
"Abstentions";14,9076913825245;-3,58490352854936;-1,25021000675051;3,63555221571344;0,367368826124458;26398;18089;4;62109,35;0,3643;1,38629436111989;"supérieur"
"Abstentions";18,7295248198184;-2,36313983689283;3,1909995473357;-0,722374634570851;1,27977346343908;16039;12735;7,9;11937,01;0,3516;2,06686275947298;"inférieur"
"Abstentions";18,7295248198184;1,13288243086822;-0,0230908299764814;-0,0343083579715508;0,666545148512989;17240;13835;6;24159,47;0,3591;1,79175946922805;"inférieur"
"Abstentions";18,7295248198184;-3,5354770064858;1,36659064489229;-0,16376459283773;2,32189596992115;18769;13943,5;4,9;12923,93;0,3184;1,58923520511658;"inférieur"
"Abstentions";18,7295248198184;0,526799021442221;0,0195583403852234;-2,5010923209876;1,54672958133526;16452;11077;4,6;9273,23;0,2942;1,52605630349505;"inférieur"
"Abstentions";18,7295248198184;-0,613185330042419;0,405764345132623;-2,21208385336014;2,43586110398662;17001;11462;4,6;14675,23;0,3266;1,52605630349505;"inférieur"
"Abstentions";18,7295248198184;-2,25783130416901;1,46647250914237;-0,0348462573244499;1,49159142705147;18883;13163;4,6;14152,85;0,3234;1,52605630349505;"inférieur"
"Abstentions";18,7295248198184;-0,891355755184501;-1,4667006034287;0,218327346631406;1,33952044040057;21231;13696;4,3;16561,6;0,3158;1,45861502269952;"inférieur"
"Abstentions";18,7295248198184;-0,640680208514667;0,274238619657565;-0,977943118776768;0,431750640206681;16726;15880;7,1;12669,12;0,3582;1,96009478404727;"inférieur"
"Abstentions";18,7295248198184;-1,59539620666375;2,78630065606919;0,57118646708734;-1,36590314936044;18153;16910;5,3;17502,21;0,374;1,66770682055808;"supérieur"
"Abstentions";18,7295248198184;-1,44636444772371;1,11516141908155;-2,43609169140895;2,68848528006483;17320;14483;5,3;19356,9;0,3567;1,66770682055808;"inférieur"
"Abstentions";18,7295248198184;1,58960883454151;1,25380313759725;-4,39621194126999;0,39412530129076;14429;10476;6;9230,71;0,3254;1,79175946922805;"inférieur"
"Abstentions";18,7295248198184;1,10897470860078;-1,94107937280363;1,17662345851915;-1,52748417061332;24357;17494;4,5;26893,44;0,3473;1,50407739677627;"inférieur"
"Abstentions";18,7295248198184;-1,10593614413304;-2,5910245943919;1,82243916821564;1,69950169121805;24442;16115;3,4;16142,39;0,2842;1,22377543162212;"inférieur"
"Abstentions";18,7295248198184;4,28182972919292;0,525113373076986;-6,77107971443353;0,369358946512537;11479;9237;8,9;7326,24;0,3421;2,18605127673809;"inférieur"
"Abstentions";18,7295248198184;-2,64874551893106;-0,863943896564053;2,93701514972685;0,493251672301161;24058;16698;4,4;23799;0,3416;1,48160454092422;"inférieur"
"Abstentions";18,7295248198184;2,02928586231595;-2,17063804450165;1,02558555851309;-2,44277491534625;26493;22731;5,5;40725,11;0,4145;1,70474809223843;"supérieur"
"Abstentions";18,7295248198184;-1,34308823208806;-2,27362008985284;-1,73981934066207;3,21220339912632;19895;14483;5,3;19356,9;0,3567;1,66770682055808;"inférieur"
"Abstentions";18,7295248198184;-2,44280679256092;-3,14682451355249;-0,780897030841544;-0,106512372311294;21707;14483;5,3;19356,9;0,3567;1,66770682055808;"inférieur"
"Abstentions";18,7295248198184;-1,65313643116904;-4,52891744307068;1,06817576895437;3,62266824560922;21313;14282;4,1;16946,64;0,3133;1,41098697371026;"inférieur"
"Abstentions";18,7295248198184;-1,70180433800795;-2,05532676107194;0,402757872023495;1,5105466327579;18827;14483;5,3;19356,9;0,3567;1,66770682055808;"inférieur"
